지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 이슬점온도(°C),평균 상대습도(%),합계 일조시간(hr)
165,목포,2014-05-01,15.4,10.6,20.3,0.0,1.6,12.0,82.5,12.2
165,목포,2014-05-02,15.6,12.0,23.3,0.0,4.4,13.6,88.5,7.3
165,목포,2014-05-03,13.4,10.0,19.3,0.0,5.6,9.2,77.5,12.2
165,목포,2014-05-04,13.6,9.6,20.0,1.0,3.9,9.3,78.9,3.0
165,목포,2014-05-05,12.6,8.7,17.3,0.0,4.2,4.6,60.0,12.1
165,목포,2014-05-06,13.5,9.4,18.0,0.0,3.2,5.0,59.1,12.2
165,목포,2014-05-07,15.8,9.9,20.4,0.0,4.8,8.7,65.6,12.2
165,목포,2014-05-08,14.6,10.3,17.7,0.1,5.2,13.1,92.0,7.1
165,목포,2014-05-09,16.0,8.9,23.7,0.0,2.5,10.0,71.9,11.6
165,목포,2014-05-10,18.8,13.1,24.5,0.0,3.0,8.6,54.9,11.0
165,목포,2014-05-11,18.4,16.5,22.4,32.2,6.3,14.1,78.8,2.0
165,목포,2014-05-12,16.8,13.9,20.7,3.1,3.4,14.3,86.9,11.5
165,목포,2014-05-13,19.0,13.7,24.9,0.0,2.2,14.7,78.6,11.3
165,목포,2014-05-14,16.1,14.9,17.4,9.5,1.7,15.4,96.0,0.2
165,목포,2014-05-15,16.2,14.0,20.0,0.0,3.8,14.1,88.3,9.8
165,목포,2014-05-16,17.6,12.6,22.3,0.0,1.7,13.3,77.9,10.7
165,목포,2014-05-17,18.8,14.3,25.1,0.0,1.8,10.5,65.6,12.1
165,목포,2014-05-18,18.6,13.8,24.2,0.0,1.7,14.3,78.3,11.1
165,목포,2014-05-19,19.6,13.6,25.7,0.0,1.9,14.0,73.3,11.0
165,목포,2014-05-20,17.4,15.6,20.5,19.5,2.2,16.8,97.0,1.9
165,목포,2014-05-21,16.9,14.6,20.2,0.0,3.2,16.1,95.6,8.8
165,목포,2014-05-22,18.9,13.2,24.7,0.0,1.4,16.6,88.4,10.6
165,목포,2014-05-23,20.5,16.6,25.1,0.0,2.6,18.0,86.9,9.7
165,목포,2014-05-24,20.7,16.3,25.9,0.0,2.8,17.7,84.5,6.8
165,목포,2014-05-25,19.3,17.3,21.1,6.9,4.5,18.6,96.5,0.7
165,목포,2014-05-26,19.7,16.8,24.4,0.5,3.3,15.5,80.5,10.5
165,목포,2014-05-27,20.9,16.2,26.7,0.0,4.5,17.4,83.0,11.2
165,목포,2014-05-28,20.0,17.5,23.6,0.0,4.1,17.9,89.0,10.4
165,목포,2014-05-29,20.4,16.6,25.9,0.0,1.9,17.3,85.0,9.5
165,목포,2014-05-30,23.2,17.0,30.5,0.0,2.6,15.2,64.6,12.2
165,목포,2014-05-31,23.2,19.2,28.7,0.0,2.3,18.5,76.5,12.3
165,목포,2014-06-01,22.6,18.8,26.7,0.0,2.0,17.1,73.3,0.1
165,목포,2014-06-02,19.7,17.9,22.0,19.8,5.5,18.0,90.6,1.9
165,목포,2014-06-03,18.9,17.7,19.5,19.7,2.8,18.8,99.9,0.0
165,목포,2014-06-04,21.8,18.8,26.4,8.4,1.6,20.2,92.0,5.2
165,목포,2014-06-05,21.7,18.7,25.0,0.0,2.3,19.4,88.0,7.9
165,목포,2014-06-06,21.7,19.3,25.5,0.0,1.7,19.4,88.0,8.5
165,목포,2014-06-07,20.8,18.3,25.2,0.0,2.1,19.4,92.5,10.5
165,목포,2014-06-08,20.5,18.6,23.8,0.0,2.1,18.6,90.1,6.9
165,목포,2014-06-09,20.7,18.1,23.6,0.0,1.6,19.4,93.0,2.5
165,목포,2014-06-10,21.8,19.9,25.7,0.0,1.8,20.1,91.1,1.5
165,목포,2014-06-11,21.8,19.5,25.4,0.0,3.0,19.7,89.4,10.5
165,목포,2014-06-12,20.3,16.5,23.9,13.1,3.6,19.1,93.5,8.8
165,목포,2014-06-13,21.0,18.4,24.2,0.0,2.9,19.3,91.1,9.7
165,목포,2014-06-14,21.3,18.3,25.7,0.0,1.9,19.2,89.1,8.6
165,목포,2014-06-15,21.2,18.6,24.4,0.0,2.1,19.6,91.5,8.2
165,목포,2014-06-16,21.8,19.3,25.9,0.0,1.5,20.2,91.3,4.1
165,목포,2014-06-17,19.7,18.5,22.0,6.9,1.7,18.7,94.6,0.2
165,목포,2014-06-18,21.9,19.2,25.9,0.0,2.9,20.6,93.0,8.8
165,목포,2014-06-19,22.6,20.4,27.2,0.0,2.2,21.1,91.9,9.0
165,목포,2014-06-20,22.8,18.8,26.4,0.0,2.4,20.4,87.1,3.2
165,목포,2014-06-21,22.0,20.6,23.8,1.9,1.2,21.0,94.8,0.2
165,목포,2014-06-22,22.0,20.2,24.4,0.0,2.2,21.3,96.3,0.6
165,목포,2014-06-23,21.8,20.0,24.8,0.1,2.6,20.9,95.4,5.3
165,목포,2014-06-24,22.1,19.8,25.1,0.0,2.6,21.0,94.1,9.8
165,목포,2014-06-25,22.3,19.8,25.1,0.0,1.8,20.8,92.5,3.0
165,목포,2014-06-26,22.5,19.9,26.2,0.0,1.8,21.1,92.1,4.8
165,목포,2014-06-27,23.5,19.3,28.8,0.0,3.2,20.7,86.1,11.2
165,목포,2014-06-28,23.3,21.3,26.3,0.0,3.5,21.7,91.8,9.4
165,목포,2014-06-29,23.6,20.6,26.9,0.0,2.8,21.3,88.0,11.2
165,목포,2014-06-30,23.8,20.9,27.9,0.0,2.0,21.7,89.5,9.7
165,목포,2014-07-01,23.7,21.6,27.3,0.0,1.9,21.7,89.8,1.0
165,목포,2014-07-02,20.9,19.0,23.1,9.7,1.9,20.1,96.0,0.0
165,목포,2014-07-03,20.7,19.2,22.1,14.8,2.2,20.6,100.0,0.0
165,목포,2014-07-04,22.2,21.0,25.2,0.8,1.5,22.0,99.4,1.7
165,목포,2014-07-05,22.2,20.6,24.9,1.3,2.4,21.3,95.3,0.0
165,목포,2014-07-06,20.8,19.4,23.0,16.4,2.6,20.5,99.1,0.7
165,목포,2014-07-07,22.6,20.7,24.7,3.2,1.2,22.1,97.9,0.1
165,목포,2014-07-08,25.5,21.8,30.1,0.3,2.4,24.9,96.6,4.3
165,목포,2014-07-09,26.4,24.8,29.5,1.0,2.3,25.2,93.6,1.9
165,목포,2014-07-10,25.2,22.5,28.5,0.0,4.3,24.3,95.4,11.1
165,목포,2014-07-11,24.6,22.0,28.7,0.0,1.8,22.5,89.5,7.6
165,목포,2014-07-12,24.0,21.4,27.6,32.4,1.3,22.7,93.8,0.0
165,목포,2014-07-13,22.4,20.4,24.8,9.6,2.0,22.0,98.0,3.3
165,목포,2014-07-14,23.7,21.6,27.7,0.0,1.9,22.7,94.8,7.9
165,목포,2014-07-15,22.9,21.8,24.7,0.9,1.7,22.8,99.9,0.0
165,목포,2014-07-16,23.2,21.0,26.8,3.9,1.8,22.5,96.8,0.0
165,목포,2014-07-17,23.6,21.8,25.8,11.5,2.9,23.5,100.0,0.0
165,목포,2014-07-18,25.1,23.9,27.2,0.3,3.3,25.0,100.0,0.3
165,목포,2014-07-19,24.9,23.1,29.3,1.5,2.2,24.1,96.0,7.2
165,목포,2014-07-20,25.5,23.3,28.4,0.0,1.9,24.6,95.9,6.7
165,목포,2014-07-21,25.3,23.0,29.1,0.0,1.9,24.5,96.4,8.8
165,목포,2014-07-22,26.0,22.7,29.8,0.0,2.8,25.0,94.8,5.8
165,목포,2014-07-23,27.2,24.4,30.2,0.0,2.8,26.2,95.4,9.3
165,목포,2014-07-24,28.1,26.3,30.7,1.9,2.9,27.7,98.3,4.7
165,목포,2014-07-25,28.2,26.1,32.4,5.0,5.8,26.8,93.1,8.6
165,목포,2014-07-26,24.7,22.5,27.1,0.1,3.9,23.5,93.6,8.8
165,목포,2014-07-27,24.4,20.7,28.3,0.0,2.2,22.4,90.3,11.4
165,목포,2014-07-28,21.3,19.2,24.2,22.2,1.8,20.8,97.3,0.1
165,목포,2014-07-29,26.0,20.6,30.2,0.0,3.2,24.6,93.0,10.0
165,목포,2014-07-30,28.3,24.4,32.2,0.0,2.9,25.4,85.1,12.3
165,목포,2014-07-31,29.4,25.3,34.3,0.0,2.2,25.4,80.5,11.1
165,목포,2014-08-01,27.8,25.0,30.7,1.2,2.4,25.1,86.1,2.0
165,목포,2014-08-02,25.3,23.5,28.2,58.9,4.1,24.8,97.9,0.0
165,목포,2014-08-03,23.7,23.1,25.0,15.7,5.3,23.6,100.0,0.0
165,목포,2014-08-04,23.6,23.4,23.9,14.1,3.2,23.5,100.0,0.0
165,목포,2014-08-05,26.1,23.3,30.3,0.0,1.6,25.0,94.9,8.9
165,목포,2014-08-06,26.3,24.0,29.9,0.0,1.7,25.3,95.4,7.4
165,목포,2014-08-07,24.1,22.7,26.5,3.7,1.5,24.0,99.9,0.0
165,목포,2014-08-08,25.2,22.6,29.3,0.1,1.3,24.7,97.6,3.3
165,목포,2014-08-09,26.2,21.8,30.6,0.0,2.1,23.7,86.9,11.1
165,목포,2014-08-10,24.2,22.6,26.9,0.2,2.9,23.1,94.4,8.6
165,목포,2014-08-11,24.1,22.3,27.5,0.0,4.6,22.2,90.0,8.8
165,목포,2014-08-12,25.0,22.4,28.7,0.0,1.8,23.7,94.0,7.7
165,목포,2014-08-13,24.3,22.6,27.0,0.0,1.7,24.0,98.8,0.0
165,목포,2014-08-14,22.1,20.7,23.4,9.7,1.5,22.0,100.0,0.0
165,목포,2014-08-15,23.7,21.7,27.3,2.0,2.7,22.8,95.6,4.6
165,목포,2014-08-16,24.3,20.4,29.3,0.0,2.2,22.9,92.9,8.9
165,목포,2014-08-17,22.9,21.2,25.1,47.9,1.9,22.6,98.8,0.0
165,목포,2014-08-18,23.2,21.1,26.3,28.1,2.9,23.1,100.0,0.6
165,목포,2014-08-19,23.2,21.8,25.0,2.9,1.6,23.0,99.6,0.0
165,목포,2014-08-20,23.7,22.0,25.8,10.0,1.0,23.5,99.6,0.1
165,목포,2014-08-21,23.7,21.6,26.4,5.5,3.8,23.3,98.0,4.8
165,목포,2014-08-22,24.2,22.3,27.3,0.0,2.0,22.9,93.5,8.3
165,목포,2014-08-23,24.4,21.2,27.3,0.0,1.3,22.6,91.3,8.1
165,목포,2014-08-24,23.8,22.8,25.8,38.1,1.3,23.7,99.8,0.0
165,목포,2014-08-25,24.6,23.6,26.4,0.0,3.1,24.5,99.9,2.3
165,목포,2014-08-26,24.4,23.1,26.9,0.0,3.6,24.0,98.6,6.0
165,목포,2014-08-27,23.4,22.3,26.0,0.3,1.7,23.0,98.1,0.2
165,목포,2014-08-28,21.5,20.8,22.5,3.4,1.3,21.4,100.0,0.0
165,목포,2014-08-29,21.4,18.9,23.9,13.2,1.3,20.4,94.8,0.4
165,목포,2014-08-30,23.1,19.6,27.7,0.0,1.7,21.3,91.1,10.9
165,목포,2014-08-31,22.4,20.9,24.4,0.0,1.4,21.5,95.6,0.3
165,목포,2014-09-01,23.2,19.1,28.5,0.0,1.3,20.6,86.9,10.6
165,목포,2014-09-02,21.5,20.2,23.2,25.3,2.2,21.0,97.6,0.0
165,목포,2014-09-03,22.8,20.9,24.7,7.1,3.9,22.7,99.5,0.2
165,목포,2014-09-04,23.0,20.8,26.7,0.0,2.5,21.7,93.3,11.0
165,목포,2014-09-05,23.4,18.6,28.3,0.0,1.7,21.3,89.1,10.4
165,목포,2014-09-06,23.9,21.5,28.1,0.0,1.7,22.5,93.0,7.1
165,목포,2014-09-07,23.7,21.5,27.7,0.0,1.9,22.7,94.6,7.6
165,목포,2014-09-08,23.8,21.1,28.2,0.0,2.6,22.2,92.1,10.1
165,목포,2014-09-09,22.5,19.6,27.1,0.0,2.0,20.6,89.3,5.7
165,목포,2014-09-10,22.1,18.0,27.2,0.0,3.3,18.3,81.3,11.7
165,목포,2014-09-11,22.3,17.2,27.4,0.0,1.6,19.4,84.8,9.5
165,목포,2014-09-12,21.7,20.2,24.0,0.8,1.1,20.5,93.4,0.1
165,목포,2014-09-13,23.2,19.3,28.3,0.0,1.5,18.8,79.1,11.2
165,목포,2014-09-14,22.5,19.2,27.8,0.0,1.7,18.7,80.6,6.8
165,목포,2014-09-15,22.5,19.8,27.3,0.0,2.2,20.3,88.6,6.4
165,목포,2014-09-16,22.0,19.6,26.2,0.0,3.3,17.6,77.3,4.8
165,목포,2014-09-17,21.6,19.3,26.9,0.0,2.6,16.9,75.9,5.8
165,목포,2014-09-18,21.8,18.6,26.0,0.0,1.5,18.2,80.9,3.2
165,목포,2014-09-19,20.5,18.6,23.0,0.0,1.1,16.9,80.1,0.3
165,목포,2014-09-20,21.3,16.0,27.3,0.0,1.4,17.1,78.3,9.0
165,목포,2014-09-21,21.7,17.2,27.9,0.0,2.0,16.8,75.5,10.4
165,목포,2014-09-22,22.3,16.7,28.7,0.0,1.5,17.5,76.3,11.4
165,목포,2014-09-23,21.5,19.4,25.4,7.2,2.0,17.8,81.0,0.0
165,목포,2014-09-24,21.8,19.7,24.3,27.5,4.4,21.4,97.8,0.5
165,목포,2014-09-25,21.4,18.9,25.6,0.0,2.9,19.9,92.4,8.5
165,목포,2014-09-26,21.5,17.9,27.4,0.0,1.8,20.0,92.3,7.3
165,목포,2014-09-27,21.6,18.5,25.9,0.0,2.1,19.6,89.4,8.7
165,목포,2014-09-28,22.2,17.8,26.8,0.0,1.5,20.5,91.3,9.6
165,목포,2014-09-29,20.6,18.6,22.3,6.3,1.2,20.2,98.1,0.0
165,목포,2014-09-30,20.6,17.9,24.3,0.5,3.1,19.6,94.6,5.8
165,목포,2015-05-01,17.7,13.6,22.9,0.0,1.6,16.6,94.3,10.6
165,목포,2015-05-02,19.0,14.6,23.2,14.4,3.3,17.2,90.5,6.4
165,목포,2015-05-03,17.0,13.3,19.6,10.3,3.5,16.9,100.0,0.0
165,목포,2015-05-04,14.0,11.1,18.8,0.0,6.2,9.5,76.6,9.8
165,목포,2015-05-05,12.5,6.7,17.7,0.0,2.4,5.6,66.0,12.2
165,목포,2015-05-06,13.9,8.6,19.1,0.0,1.5,8.5,72.4,2.5
165,목포,2015-05-07,15.1,9.8,21.4,0.0,2.1,8.0,67.3,12.1
165,목포,2015-05-08,16.9,10.4,22.3,0.0,1.5,11.2,72.5,8.0
165,목포,2015-05-09,17.6,13.6,23.6,0.1,3.6,13.4,78.6,11.1
165,목포,2015-05-10,17.5,12.9,23.3,0.0,2.1,15.5,89.6,10.8
165,목포,2015-05-11,16.6,14.7,18.7,22.7,5.4,15.4,93.8,0.5
165,목포,2015-05-12,15.3,12.0,17.7,4.8,5.7,12.7,85.5,11.8
165,목포,2015-05-13,18.9,14.8,23.9,0.0,5.1,12.7,68.9,12.4
165,목포,2015-05-14,19.9,16.3,25.2,0.0,4.1,18.8,93.9,5.9
165,목포,2015-05-15,18.0,15.3,22.7,6.7,2.5,17.6,98.3,2.9
165,목포,2015-05-16,16.8,12.0,22.4,0.0,4.3,12.0,77.5,12.4
165,목포,2015-05-17,18.2,11.4,25.1,0.0,1.9,10.2,65.3,6.6
165,목포,2015-05-18,15.8,14.6,17.2,6.6,2.2,14.5,93.4,0.0
165,목포,2015-05-19,16.3,13.8,22.3,0.0,1.8,15.7,96.5,7.7
165,목포,2015-05-20,16.7,12.9,22.0,0.0,4.5,12.6,80.0,12.3
165,목포,2015-05-21,17.6,12.5,24.3,0.0,2.7,14.2,82.4,10.2
165,목포,2015-05-22,19.1,14.7,25.1,0.0,1.6,13.9,74.4,8.1
165,목포,2015-05-23,18.3,15.7,23.3,0.0,1.7,15.1,83.6,5.0
165,목포,2015-05-24,18.8,14.5,25.4,0.0,3.3,13.1,73.4,12.3
165,목포,2015-05-25,18.2,12.3,24.8,0.0,3.1,14.3,80.5,12.5
165,목포,2015-05-26,19.4,14.5,27.8,0.0,2.8,16.5,85.6,11.2
165,목포,2015-05-27,20.8,14.6,27.6,0.0,1.4,12.9,63.3,10.7
165,목포,2015-05-28,22.4,18.4,28.1,0.0,1.6,14.5,62.9,9.3
165,목포,2015-05-29,22.2,16.8,27.8,0.0,1.8,16.6,73.1,12.2
165,목포,2015-05-30,19.3,16.2,23.6,12.2,3.2,18.4,95.6,3.8
165,목포,2015-05-31,19.8,15.9,24.2,0.0,2.7,17.8,89.0,12.3
165,목포,2015-06-01,21.0,16.7,26.3,0.0,1.5,17.3,82.6,11.0
165,목포,2015-06-02,20.4,17.5,25.1,0.0,1.6,18.0,87.4,0.1
165,목포,2015-06-03,20.6,17.1,25.2,0.0,6.1,13.8,67.9,11.1
165,목포,2015-06-04,21.1,15.4,26.7,0.0,1.9,12.2,59.0,10.9
165,목포,2015-06-05,17.8,14.8,20.8,3.9,2.0,13.4,76.6,6.0
165,목포,2015-06-06,20.1,14.4,25.7,0.0,3.3,13.3,68.4,12.2
165,목포,2015-06-07,20.8,17.2,26.0,0.0,3.4,15.3,72.4,7.8
165,목포,2015-06-08,20.3,17.9,22.9,2.3,1.8,17.9,86.6,0.1
165,목포,2015-06-09,21.7,19.1,26.4,0.0,2.5,18.5,83.0,6.7
165,목포,2015-06-10,23.2,17.9,29.1,0.0,2.5,17.3,71.6,11.0
165,목포,2015-06-11,22.8,20.5,25.6,0.7,3.1,20.4,86.9,2.2
165,목포,2015-06-12,24.2,19.5,29.6,0.0,2.8,17.0,68.1,10.5
165,목포,2015-06-13,23.4,20.5,27.3,0.0,4.3,19.8,81.5,0.6
165,목포,2015-06-14,23.8,20.1,27.3,0.0,4.0,19.8,79.1,7.4
165,목포,2015-06-15,22.4,20.0,25.3,0.0,2.3,19.8,85.6,1.8
165,목포,2015-06-16,21.5,19.5,25.3,0.0,2.8,18.7,84.8,7.2
165,목포,2015-06-17,21.0,18.8,24.2,1.5,1.9,18.3,85.3,0.0
165,목포,2015-06-18,22.2,18.1,26.8,0.0,2.3,18.5,80.5,8.9
165,목포,2015-06-19,22.5,19.9,27.0,0.0,2.1,19.1,82.6,9.6
165,목포,2015-06-20,20.1,18.7,22.2,34.0,2.6,18.3,89.3,0.3
165,목포,2015-06-21,20.9,18.3,24.6,0.0,1.8,18.1,84.8,5.6
165,목포,2015-06-22,21.7,18.5,25.7,0.0,2.3,17.5,78.0,9.1
165,목포,2015-06-23,23.4,19.6,27.9,0.0,1.8,18.8,76.6,8.7
165,목포,2015-06-24,21.5,19.9,24.1,3.7,1.3,19.3,88.1,0.0
165,목포,2015-06-25,21.3,19.4,24.9,44.5,2.7,18.6,85.3,0.0
165,목포,2015-06-26,21.0,20.0,23.0,7.9,5.6,19.0,88.5,0.5
165,목포,2015-06-27,21.4,19.7,23.7,0.0,2.6,18.6,84.6,0.9
165,목포,2015-06-28,22.0,18.6,26.0,0.0,2.1,18.9,83.3,6.3
165,목포,2015-06-29,21.4,19.4,24.0,0.0,1.6,19.4,88.9,0.9
165,목포,2015-06-30,20.1,19.8,20.5,19.3,1.4,18.4,90.0,0.0
165,목포,2015-07-01,21.7,19.5,24.3,0.2,4.1,18.1,81.0,9.5
165,목포,2015-07-02,22.2,17.9,26.2,0.0,2.1,18.6,81.0,10.6
165,목포,2015-07-03,23.1,20.3,27.4,0.0,2.9,17.9,74.9,6.1
165,목포,2015-07-04,21.7,19.4,25.2,0.0,1.8,17.4,78.1,7.6
165,목포,2015-07-05,21.8,18.8,25.5,0.0,1.8,17.5,77.8,9.8
165,목포,2015-07-06,21.7,19.0,24.8,0.0,1.1,18.2,81.0,1.8
165,목포,2015-07-07,20.1,18.8,21.5,23.9,1.3,18.1,88.9,0.0
165,목포,2015-07-08,22.6,19.7,25.5,2.0,1.4,20.7,89.5,0.0
165,목포,2015-07-09,25.8,22.4,29.3,3.1,2.3,22.9,84.4,6.4
165,목포,2015-07-10,27.5,23.0,32.6,0.0,1.6,23.7,80.8,10.4
165,목포,2015-07-11,25.5,23.7,28.6,46.3,2.3,22.7,85.0,0.3
165,목포,2015-07-12,23.7,21.4,25.4,58.7,7.3,21.9,90.0,0.0
165,목포,2015-07-13,23.0,21.4,25.8,5.9,5.3,20.6,87.0,1.8
165,목포,2015-07-14,24.5,21.0,29.4,0.0,2.2,22.1,87.0,3.6
165,목포,2015-07-15,25.3,22.6,29.0,0.0,1.6,22.5,85.0,5.4
165,목포,2015-07-16,24.3,22.5,26.9,0.0,1.8,21.9,87.1,6.2
165,목포,2015-07-17,24.3,21.6,29.0,0.0,2.1,20.7,81.1,11.0
165,목포,2015-07-18,24.0,21.6,27.3,0.0,2.7,20.5,81.6,4.7
165,목포,2015-07-19,25.9,21.5,30.9,0.3,1.5,22.0,80.0,8.7
165,목포,2015-07-20,25.6,24.4,28.3,1.7,1.1,23.8,89.9,0.5
165,목포,2015-07-21,25.1,23.4,27.7,0.1,1.1,23.2,89.5,0.4
165,목포,2015-07-22,26.2,23.6,30.4,0.0,1.9,23.7,86.8,5.5
165,목포,2015-07-23,25.4,24.8,26.8,10.9,4.2,23.6,90.0,0.4
165,목포,2015-07-24,25.1,24.6,25.8,6.4,4.7,23.3,90.0,0.0
165,목포,2015-07-25,26.5,24.8,29.4,0.0,5.0,23.2,82.8,4.4
165,목포,2015-07-26,27.2,23.6,31.3,0.0,2.6,23.2,80.1,12.1
165,목포,2015-07-27,26.3,23.7,29.6,0.1,2.3,24.0,87.9,3.1
165,목포,2015-07-28,27.3,25.3,30.2,0.0,2.0,25.0,87.3,3.1
165,목포,2015-07-29,28.6,25.8,32.3,0.0,3.1,25.7,85.0,10.0
165,목포,2015-07-30,28.3,25.9,32.6,0.0,3.4,25.5,85.4,9.8
165,목포,2015-07-31,28.0,25.5,32.1,0.0,3.0,25.0,84.6,8.7
165,목포,2015-08-01,27.9,25.4,31.6,0.0,3.3,24.7,83.5,9.4
165,목포,2015-08-02,27.9,25.9,31.9,0.0,4.0,25.2,85.5,8.0
165,목포,2015-08-03,28.0,24.9,32.0,0.0,4.0,24.2,80.8,11.7
165,목포,2015-08-04,28.6,25.6,33.2,0.0,4.4,24.2,78.5,12.1
165,목포,2015-08-05,28.6,25.6,32.8,0.0,2.9,24.8,81.0,10.6
165,목포,2015-08-06,28.6,24.6,32.8,0.0,1.7,23.9,77.0,11.4
165,목포,2015-08-07,29.9,25.0,35.5,0.0,1.7,24.0,72.8,10.6
165,목포,2015-08-08,28.8,26.5,32.3,0.0,2.4,24.6,78.9,10.1
165,목포,2015-08-09,27.9,24.7,33.4,0.0,2.2,24.1,80.6,9.3
165,목포,2015-08-10,27.1,23.8,31.6,0.0,2.3,23.0,79.1,4.4
165,목포,2015-08-11,23.6,20.5,25.6,26.0,1.6,21.6,89.4,0.0
165,목포,2015-08-12,24.3,21.2,28.2,1.3,3.0,21.8,86.3,4.1
165,목포,2015-08-13,25.9,23.9,28.8,0.0,2.5,22.7,83.5,7.9
165,목포,2015-08-14,25.4,22.2,29.5,0.0,1.7,22.2,83.5,9.3
165,목포,2015-08-15,26.1,22.4,30.9,0.0,1.6,22.5,81.5,10.6
165,목포,2015-08-16,25.9,23.5,29.7,3.8,1.6,22.9,83.9,1.1
165,목포,2015-08-17,25.7,23.2,29.3,0.0,1.8,22.6,83.8,8.7
165,목포,2015-08-18,26.4,23.8,30.1,0.0,1.3,22.8,81.5,3.8
165,목포,2015-08-19,26.1,23.5,29.2,0.0,1.1,22.1,79.1,1.7
165,목포,2015-08-20,24.2,22.9,26.1,12.0,1.0,22.4,89.8,0.0
165,목포,2015-08-21,24.8,21.6,28.5,31.0,3.2,22.0,84.9,4.7
165,목포,2015-08-22,24.6,23.3,26.5,0.0,1.4,22.5,88.1,0.1
165,목포,2015-08-23,25.1,23.5,28.0,0.2,1.5,22.4,85.5,1.4
165,목포,2015-08-24,24.4,23.0,25.9,1.1,1.2,21.9,86.5,0.0
165,목포,2015-08-25,22.6,21.7,25.2,11.1,4.1,20.7,89.5,0.2
165,목포,2015-08-26,23.5,19.5,27.9,0.0,2.8,18.9,76.9,11.9
165,목포,2015-08-27,24.0,21.0,27.1,0.0,2.4,21.1,84.5,9.6
165,목포,2015-08-28,24.3,21.8,28.0,0.0,1.9,20.9,82.3,9.3
165,목포,2015-08-29,23.9,20.7,28.7,0.0,1.6,20.4,82.1,6.7
165,목포,2015-08-30,24.2,21.6,28.5,0.0,1.2,20.8,82.3,8.0
165,목포,2015-08-31,24.8,20.8,29.0,0.0,1.6,21.1,81.3,7.0
165,목포,2015-09-01,25.3,22.9,28.6,0.0,1.9,21.0,78.5,9.9
165,목포,2015-09-02,24.7,21.8,29.7,5.6,2.4,21.2,82.1,6.9
165,목포,2015-09-03,23.8,21.0,27.5,8.9,2.7,21.0,84.9,8.3
165,목포,2015-09-04,24.7,21.7,29.4,0.0,2.1,21.0,81.1,11.2
165,목포,2015-09-05,22.0,18.8,25.6,26.5,2.4,19.2,85.1,0.0
165,목포,2015-09-06,22.7,18.8,27.9,3.4,2.3,19.7,83.8,6.4
165,목포,2015-09-07,22.5,19.1,26.7,0.0,1.6,17.3,74.3,8.4
165,목포,2015-09-08,22.5,18.2,27.6,0.0,1.9,16.0,69.8,11.8
165,목포,2015-09-09,21.8,17.1,26.5,0.0,2.5,16.2,72.9,11.8
165,목포,2015-09-10,22.3,17.2,27.9,0.0,2.5,16.2,70.9,11.7
165,목포,2015-09-11,22.5,19.3,26.4,0.0,1.9,19.0,81.3,7.2
165,목포,2015-09-12,20.6,18.0,22.3,6.6,2.8,17.8,84.6,0.4
165,목포,2015-09-13,20.6,17.0,25.5,0.0,3.4,13.2,64.4,11.6
165,목포,2015-09-14,21.0,16.2,26.9,0.0,1.5,13.8,65.4,7.7
165,목포,2015-09-15,21.5,16.7,26.7,0.0,1.7,13.2,60.4,9.3
165,목포,2015-09-16,20.1,17.0,22.5,0.0,1.4,14.8,71.8,0.6
165,목포,2015-09-17,21.8,17.3,27.2,0.0,2.9,15.9,71.1,11.5
165,목포,2015-09-18,21.5,18.1,25.2,0.0,2.2,17.7,80.1,10.0
165,목포,2015-09-19,21.5,18.6,25.3,0.0,1.9,18.0,81.9,9.6
165,목포,2015-09-20,21.5,17.6,26.4,0.0,2.0,17.5,79.5,7.7
165,목포,2015-09-21,22.2,17.7,27.9,0.0,1.6,17.9,77.8,9.8
165,목포,2015-09-22,22.8,18.3,28.3,0.0,2.3,17.3,72.5,10.2
165,목포,2015-09-23,19.3,18.1,21.3,15.1,1.6,17.2,87.8,0.0
165,목포,2015-09-24,21.6,17.0,27.1,0.0,2.4,18.6,84.0,7.3
165,목포,2015-09-25,22.2,19.7,26.3,0.0,1.7,18.8,82.4,2.3
165,목포,2015-09-26,21.5,18.0,26.9,0.0,2.9,18.3,83.1,8.3
165,목포,2015-09-27,21.3,17.0,27.3,0.0,1.9,15.2,70.9,10.0
165,목포,2015-09-28,22.6,16.4,28.6,0.0,1.7,15.4,66.1,8.5
165,목포,2015-09-29,23.4,17.9,29.2,0.0,1.6,16.7,69.0,10.9
165,목포,2015-09-30,18.8,17.8,21.5,13.4,2.5,16.2,85.4,0.0
165,목포,2016-05-01,18.5,13.2,23.8,0.0,3.8,12.2,68.0,11.5
165,목포,2016-05-02,18.8,15.8,23.8,34.6,4.2,17.5,93.1,5.0
165,목포,2016-05-03,15.5,13.2,19.0,21.1,6.7,14.0,91.4,3.7
165,목포,2016-05-04,15.8,12.1,19.1,0.0,3.9,12.1,80.5,12.2
165,목포,2016-05-05,17.9,11.7,23.8,0.0,3.4,14.1,81.3,5.3
165,목포,2016-05-06,18.2,12.6,22.7,0.0,3.8,17.5,96.9,3.9
165,목포,2016-05-07,15.8,11.5,21.6,0.0,4.1,11.3,77.3,10.1
165,목포,2016-05-08,17.8,10.2,23.9,0.0,2.1,9.3,59.9,5.9
165,목포,2016-05-09,16.7,15.5,18.9,1.4,1.2,15.8,95.1,0.0
165,목포,2016-05-10,13.8,12.6,15.6,24.8,4.2,13.7,100.0,0.0
